full_name,hits,homeruns,rbi,runs,stolen_bases,walks,strikeouts,games_played,at_bats,batting_average,on_base_plus_slugging
A.J. Achter,0,0,0,0,0,0,0.0,38,0,0.0,0.0
A.J. Burnett,56,4,19,20,0,20,241.0,436,493,0.09376470588235294,0.2519411764705883
A.J. Cole,3,1,1,1,0,2,10.0,60,26,0.0952,0.41180000000000005
A.J. Ellis,466,44,229,194,2,280,414.0,672,1948,0.20763636363636362,0.5862727272727273
A.J. Griffin,0,0,0,0,0,2,10.0,73,11,0.0,0.12233333333333334
A.J. Hinch,209,32,112,104,13,71,214.0,350,953,0.21242857142857144,0.5998571428571429
A.J. Jimenez,1,0,0,0,0,0,7.0,7,12,0.083,0.166
A.J. Minter,0,0,0,0,0,0,1.0,178,1,0.0,0.0
A.J. Morris,0,0,0,0,0,0,1.0,7,1,0.0,0.0
A.J. Pierzynski,2043,188,909,807,15,308,895.0,2059,7290,0.2803157894736842,0.7304736842105264
A.J. Puk,0,0,0,0,0,0,0.0,30,0,0.0,0.0
A.J. Sager,1,0,2,0,0,0,6.0,101,14,0.025,0.1
A.J. Schugel,0,0,0,0,0,1,1.0,73,3,0.0,0.16666666666666666
AJ Pollock,1032,145,485,575,122,291,736.0,1087,3787,0.2624166666666667,0.7703333333333333
AJ Ramos,0,0,0,0,0,0,0.0,378,0,0.0,0.0
AJ Reed,26,4,12,12,0,22,71.0,62,175,0.07500000000000001,0.23525000000000001
Aaron Altherr,222,37,150,142,21,110,332.0,359,1016,0.16216666666666665,0.5331666666666667
Aaron Ashby,0,0,0,0,0,1,2.0,14,2,0.0,0.333
Aaron Barrett,0,0,0,0,0,0,0.0,93,0,0.0,0.0
Aaron Bates,4,0,2,2,0,1,4.0,5,11,0.364,0.962
Aaron Blair,2,0,0,0,0,1,9.0,16,22,0.524,1.048
Aaron Boone,1017,126,555,519,107,303,707.0,1152,3871,0.24291666666666667,0.6828333333333334
Aaron Brooks,0,0,0,0,0,0,1.0,25,5,0.0,0.0
Aaron Bummer,0,0,0,0,0,0,0.0,280,0,0.0,0.0
Aaron Civale,0,0,0,0,0,1,2.0,31,3,0.0,0.25
Aaron Cook,58,0,19,26,0,21,130.0,254,382,0.1482,0.35950000000000004
Aaron Crow,0,0,0,0,0,0,0.0,254,0,0.0,0.0
Aaron Cunningham,99,7,51,47,4,34,110.0,222,452,0.20839999999999997,0.606
Aaron Fletcher,0,0,0,0,0,0,0.0,4,0,0.0,0.0
Aaron Fultz,5,0,0,2,0,0,3.0,464,19,0.13325,0.2665
Aaron Guiel,239,35,128,151,8,83,218.0,307,970,0.2404,0.7236
Aaron Harang,65,1,21,16,0,5,294.0,388,670,0.09721428571428571,0.21685714285714283
Aaron Heilman,1,0,1,1,0,2,24.0,477,47,0.005,0.022111111111111113
Aaron Hicks,724,109,392,469,71,461,793.0,981,3135,0.22141666666666668,0.6843333333333331
Aaron Hill,1501,162,695,736,74,443,847.0,1559,5646,0.2551538461538462,0.7139230769230769
Aaron Holbert,6,0,2,3,1,3,8.0,23,30,0.111,0.3115
Aaron Judge,1026,315,716,736,53,693,1209.0,993,3564,0.27299999999999996,0.9548888888888888
Aaron Laffey,2,0,0,0,0,0,2.0,135,9,0.14285714285714285,0.2857142857142857
Aaron Ledesma,223,2,76,94,11,44,111.0,284,754,0.28159999999999996,0.6910000000000001
Aaron Loup,0,0,0,0,0,0,0.0,426,1,0.0,0.0
Aaron Miles,793,19,229,347,30,162,294.0,932,2827,0.2797777777777778,0.680888888888889
Aaron Myette,0,0,0,0,0,0,0.0,24,0,0.0,0.0
Aaron Nola,24,0,12,15,0,21,158.0,172,271,0.07328571428571429,0.22285714285714286
Aaron Northcraft,0,0,0,0,0,0,0.0,5,0,0.0,0.0
Aaron Poreda,0,0,0,0,0,0,0.0,40,0,0.0,0.0
Aaron Rakers,0,0,0,0,0,0,0.0,1,0,0.0,0.0
Aaron Rowand,1193,136,536,613,67,261,914.0,1358,4374,0.2712727272727273,0.7572727272727271
Aaron Sanchez,0,0,0,0,0,1,12.0,147,22,0.0,0.016666666666666666
Aaron Scheffer,0,0,0,0,0,0,0.0,4,0,0.0,0.0
Aaron Schunk,22,2,7,14,0,4,31.0,39,94,0.234,0.595
Aaron Sele,9,0,1,5,0,3,13.0,329,58,0.13109090909090912,0.32754545454545453
Aaron Slegers,0,0,0,0,0,0,0.0,29,0,0.0,0.0
Aaron Small,0,0,0,0,0,0,3.0,144,4,0.0,0.0
Aaron Taylor,0,0,0,0,0,0,0.0,5,0,0.0,0.0
Aaron Thompson,0,0,0,0,0,1,0.0,45,0,0.0,0.5
Aaron Whitefield,0,0,0,1,0,0,5.0,8,12,0.0,0.0
Aaron Wilkerson,1,1,2,1,0,0,3.0,14,9,0.111,0.5553333333333333
Abe Alvarez,0,0,0,0,0,0,1.0,1,1,0.0,0.0
Abel De Los Santos,0,0,0,0,0,0,0.0,7,0,0.0,0.0
Abiatal Avelino,5,0,1,1,0,1,6.0,10,18,0.27949999999999997,0.6035
Abraham Almonte,288,24,118,169,27,119,327.0,463,1236,0.21281818181818182,0.6307272727272728
Abraham M. Nunez,63,6,35,42,1,34,74.0,136,302,0.16599999999999998,0.426
Abraham O. Nunez,601,18,209,286,38,250,447.0,1030,2486,0.21383333333333332,0.5689166666666666
Abraham Toro,259,34,134,145,14,87,228.0,365,1179,0.24583333333333335,0.7328333333333333
Adael Amador,6,0,0,1,1,1,6.0,10,35,0.171,0.394
Adalberto Mejía,0,0,0,0,0,0,1.0,40,1,0.0,0.0
Adalberto Mendez,2,0,0,0,0,0,1.0,5,7,0.286,0.572
Adalberto Mondesi,311,38,157,180,133,60,412.0,358,1273,0.21714285714285714,0.6095714285714287
Adam Bernero,1,0,0,2,0,0,9.0,130,16,0.25,0.5
Adam Butler,0,0,0,0,0,0,0.0,8,0,0.0,0.0
Adam Cimber,0,0,0,0,0,0,4.0,182,6,0.0,0.0
Adam Conley,12,0,4,7,0,3,44.0,191,84,0.07816666666666666,0.17049999999999998
Adam Dunn,1631,462,1168,1097,63,1317,2379.0,2001,6883,0.2357857142857143,0.8502142857142859
Adam Duvall,771,195,566,456,22,247,1074.0,1026,3393,0.22454545454545452,0.7406363636363636
Adam Eaton,1016,69,345,596,92,379,792.0,1131,3780,0.21857894736842104,0.6656315789473685
Adam Engel,318,30,123,173,47,76,452.0,528,1419,0.20199999999999999,0.5771428571428572
Adam Everett,668,40,283,334,67,174,455.0,880,2758,0.20854545454545456,0.5466363636363636
Adam Frazier,903,60,339,468,55,282,515.0,1066,3425,0.2607777777777778,0.7094444444444444
Adam Greenberg,0,0,0,0,0,0,1.0,2,1,0.0,0.5
Adam Haseley,98,5,43,49,5,27,96.0,158,379,0.23879999999999998,0.5938
Adam Hyzdu,82,19,61,54,1,41,98.0,221,358,0.2541428571428571,0.7725714285714285
Adam Johnson,0,0,0,0,0,0,0.0,7,2,0.0,0.0
Adam Jones,1939,282,945,963,97,340,1395.0,1823,7009,0.2704285714285714,0.7505714285714286
Adam Kennedy,1488,80,571,682,179,401,839.0,1691,5473,0.2682857142857143,0.7018571428571427
Adam Kolarek,0,0,0,0,0,0,0.0,157,0,0.0,0.0
Adam LaRoche,1452,255,882,752,13,649,1407.0,1605,5593,0.254,0.7808333333333334
Adam Liberatore,0,0,0,1,0,0,2.0,118,3,0.0,0.0
Adam Lind,1247,200,723,588,7,393,945.0,1344,4577,0.28025,0.8066666666666666
Adam Loewen,7,1,4,4,0,3,13.0,64,37,0.13025,0.319
Adam McCreery,0,0,0,0,0,0,0.0,1,0,0.0,0.0
Adam Melhuse,172,24,98,76,1,57,193.0,311,735,0.219,0.62825
Adam Moore,58,7,23,21,2,13,95.0,104,292,0.19255555555555556,0.5614444444444444
Adam Morgan,6,0,2,3,0,2,24.0,216,60,0.11183333333333334,0.2675
Adam Ottavino,2,0,0,1,0,1,17.0,509,24,0.0222,0.058699999999999995
Adam Peterson,0,0,0,0,0,2,9.0,13,13,0.0,0.133
Adam Pettyjohn,0,0,0,0,0,0,2.0,19,3,0.0,0.0
Adam Piatt,129,16,65,62,3,57,149.0,212,521,0.24275,0.72625
Adam Plutko,0,0,0,0,0,0,1.0,88,2,0.0,0.0
Adam Riggs,33,3,10,18,6,16,30.0,61,153,0.20850000000000002,0.59275
Adam Rosales,367,48,179,186,17,135,451.0,653,1621,0.21418181818181817,0.621090909090909
Adam Russell,0,0,0,0,0,0,0.0,85,1,0.0,0.0
Adam Shabala,3,0,4,1,0,1,5.0,6,15,0.2,0.435
Adam Stern,5,1,7,7,2,0,10.0,54,43,0.07075000000000001,0.22775
Adam Wainwright,143,10,75,55,0,27,250.0,466,744,0.1726875,0.4740625
Adam Warren,0,0,0,0,0,0,4.0,322,6,0.0,0.0
Adam Wilk,0,0,0,0,0,0,1.0,6,2,0.0,0.0
Adbert Alzolay,2,0,0,1,0,1,15.0,34,36,0.0325,0.0955
Addison Barger,41,7,28,20,2,14,60.0,69,208,0.197,0.601
Addison Reed,0,0,0,0,0,0,0.0,459,2,0.0,0.0
Addison Russell,480,60,253,256,17,186,532.0,615,1987,0.2412,0.7023999999999999
Adeiny Hechavarría,778,37,273,311,35,163,550.0,922,3071,0.253,0.6472222222222223
Adley Rutschman,407,52,201,222,6,215,290.0,415,1557,0.26033333333333336,0.775
Adolis García,560,122,384,344,61,183,740.0,631,2344,0.18000000000000002,0.5755
Adonis García,239,29,110,104,7,36,151.0,244,896,0.26233333333333336,0.7090000000000001
Adonis Medina,0,0,0,0,0,0,1.0,18,1,0.0,0.0
Adrian Beltré,3166,477,1707,1524,121,848,1732.0,2933,11068,0.2835714285714286,0.8120476190476191
Adrian Brown,293,11,86,166,45,109,161.0,447,1134,0.23722222222222225,0.5875555555555556
Adrian Cardenas,11,0,2,5,0,7,13.0,45,60,0.183,0.552
Adrian Del Castillo,25,4,19,12,1,7,28.0,25,80,0.313,0.893
Adrian Hernandez,0,0,0,0,0,0,3.0,6,4,0.0,0.0
Adrian Houser,4,2,2,2,0,4,47.0,72,64,0.028999999999999998,0.136
Adrian Morejon,0,0,0,0,0,0,1.0,7,2,0.0,0.0
Adrian Nieto,25,2,7,8,0,8,38.0,48,106,0.236,0.636
Adrian Sampson,0,0,0,0,0,0,8.0,48,9,0.0,0.0
Adrián González,2050,317,1202,997,6,782,1401.0,1929,7139,0.27666666666666667,0.8060000000000002
Adrián Sanchez,51,0,16,22,0,6,47.0,106,195,0.25675000000000003,0.59825
Adron Chambers,19,0,9,11,2,8,30.0,84,88,0.25033333333333335,0.6763333333333333
Agustin Montero,0,0,0,0,0,0,0.0,11,0,0.0,0.0
Akeel Morris,0,0,0,0,0,0,0.0,17,0,0.0,0.0
Akeem Bostick,0,0,0,0,0,0,0.0,1,0,0.0,0.0
Akil Baddoo,226,28,103,137,42,119,302.0,340,999,0.20450000000000002,0.63175
Akinori Iwamura,413,16,117,222,32,183,330.0,408,1545,0.2555,0.6947500000000001
Akinori Otsuka,0,0,0,0,0,0,1.0,236,2,0.0,0.0
Al Alburquerque,0,0,0,0,0,0,0.0,244,0,0.0,0.0
Al Leiter,45,0,16,15,0,35,290.0,290,530,0.0794,0.22599999999999998
Al Levine,0,0,0,0,0,0,0.0,382,2,0.0,0.0
Al Martin,1172,132,485,664,173,390,879.0,1232,4242,0.2636363636363636,0.748090909090909
Al Newman,195,0,61,93,26,90,81.0,378,880,0.21766666666666667,0.5366666666666666
